72.22381949424744 Tr_Time
1.453981876373291 Te_Time
0.9157750606536865 DL_Time
3080667 Flops
49615 Parameters
99.02892850716154 Kappa accuracy (%)
99.10179640718563 Overall accuracy (%)
98.8128893962099 Average accuracy (%)
                 precision    recall  f1-score   support

  Healthy grass       1.00      1.00      1.00       250
 Stressed grass       1.00      1.00      1.00       251
Synthetic grass       1.00      0.99      1.00       139
          Trees       0.99      1.00      1.00       249
           Soil       1.00      0.99      0.99       248
          Water       1.00      0.94      0.97        65
    Residential       0.99      0.98      0.99       254
     Commercial       1.00      1.00      1.00       249
           Road       0.97      1.00      0.98       250
        Highway       1.00      0.99      0.99       245
        Railway       0.97      1.00      0.98       247
  Parking Lot 1       1.00      0.97      0.98       247
  Parking Lot 2       0.98      0.98      0.98        94
   Tennis Court       1.00      0.99      0.99        86
  Running Track       0.99      1.00      0.99       132

       accuracy                           0.99      3006
      macro avg       0.99      0.99      0.99      3006
   weighted avg       0.99      0.99      0.99      3006

[100.          99.60159363  99.28057554 100.          98.79032258
  93.84615385  98.42519685 100.         100.          99.18367347
  99.5951417   96.7611336   97.87234043  98.8372093  100.        ]
[[250   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
 [  1 250   0   0   0   0   0   0   0   0   0   0   0   0   0]
 [  0   0 138   0   0   0   0   0   0   0   0   0   0   0   1]
 [  0   0   0 249   0   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   2 245   0   0   0   1   0   0   0   0   0   0]
 [  0   0   0   0   0  61   0   0   1   0   3   0   0   0   0]
 [  0   0   0   0   0   0 250   0   1   0   3   0   0   0   0]
 [  0   0   0   0   0   0   0 249   0   0   0   0   0   0   0]
 [  0   0   0   0   0   0   0   0 250   0   0   0   0   0   0]
 [  0   0   0   0   0   0   0   0   2 243   0   0   0   0   0]
 [  0   0   0   0   0   0   0   0   0   0 246   0   1   0   0]
 [  0   0   0   0   0   0   2   0   4   1   1 239   0   0   0]
 [  0   0   0   0   0   0   0   1   0   0   0   0  92   0   1]
 [  0   0   0   0   0   0   0   0   0   0   0   0   1  85   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   0   0 132]]
