69.44440412521362 Tr_Time
1.4130423069000244 Te_Time
0.9157750606536865 DL_Time
3080667 Flops
49615 Parameters
97.48239760170912 Kappa accuracy (%)
97.6713240186294 Overall accuracy (%)
97.79772190954823 Average accuracy (%)
                 precision    recall  f1-score   support

  Healthy grass       0.98      0.98      0.98       250
 Stressed grass       1.00      0.98      0.99       251
Synthetic grass       0.99      0.99      0.99       139
          Trees       0.98      1.00      0.99       249
           Soil       1.00      0.98      0.99       248
          Water       1.00      0.97      0.98        65
    Residential       0.96      0.97      0.97       254
     Commercial       1.00      0.99      0.99       249
           Road       0.98      0.90      0.94       250
        Highway       0.94      0.98      0.96       245
        Railway       0.98      0.99      0.98       247
  Parking Lot 1       0.92      0.98      0.95       247
  Parking Lot 2       1.00      0.98      0.99        94
   Tennis Court       1.00      1.00      1.00        86
  Running Track       0.99      0.98      0.98       132

       accuracy                           0.98      3006
      macro avg       0.98      0.98      0.98      3006
   weighted avg       0.98      0.98      0.98      3006

[ 98.4         98.00796813  99.28057554 100.          98.38709677
  96.92307692  96.8503937   99.19678715  89.6         97.95918367
  98.7854251   97.9757085   97.87234043 100.          97.72727273]
[[246   0   0   4   0   0   0   0   0   0   0   0   0   0   0]
 [  5 246   0   0   0   0   0   0   0   0   0   0   0   0   0]
 [  0   0 138   0   0   0   0   0   0   0   0   0   0   0   1]
 [  0   0   0 249   0   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0 244   0   0   0   2   0   2   0   0   0   0]
 [  0   0   0   0   0  63   0   0   0   0   1   1   0   0   0]
 [  0   0   1   0   0   0 246   0   1   0   0   6   0   0   0]
 [  0   0   0   0   0   0   1 247   0   0   0   1   0   0   0]
 [  0   1   0   0   1   0   0   0 224  11   0  13   0   0   0]
 [  0   0   0   0   0   0   0   1   2 240   2   0   0   0   0]
 [  0   0   0   0   0   0   1   0   0   1 244   1   0   0   0]
 [  0   0   0   0   0   0   3   0   0   2   0 242   0   0   0]
 [  0   0   0   0   0   0   1   0   0   0   1   0  92   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   0  86   0]
 [  0   0   0   0   0   0   3   0   0   0   0   0   0   0 129]]
