72.98631978034973 Tr_Time
1.4677364826202393 Te_Time
0.9157750606536865 DL_Time
3080667 Flops
49615 Parameters
99.35264131150554 Kappa accuracy (%)
99.40119760479041 Overall accuracy (%)
99.21119081661985 Average accuracy (%)
                 precision    recall  f1-score   support

  Healthy grass       1.00      1.00      1.00       250
 Stressed grass       1.00      1.00      1.00       251
Synthetic grass       1.00      0.99      1.00       139
          Trees       1.00      1.00      1.00       249
           Soil       0.99      1.00      0.99       248
          Water       1.00      1.00      1.00        65
    Residential       0.99      0.99      0.99       254
     Commercial       1.00      1.00      1.00       249
           Road       0.98      1.00      0.99       250
        Highway       1.00      0.99      0.99       245
        Railway       0.99      0.99      0.99       247
  Parking Lot 1       1.00      0.99      0.99       247
  Parking Lot 2       0.97      0.97      0.97        94
   Tennis Court       1.00      0.97      0.98        86
  Running Track       0.99      1.00      1.00       132

       accuracy                           0.99      3006
      macro avg       0.99      0.99      0.99      3006
   weighted avg       0.99      0.99      0.99      3006

[100.         100.          99.28057554 100.          99.59677419
 100.          99.21259843  99.59839357 100.          99.18367347
  99.1902834   98.7854251   96.80851064  96.51162791 100.        ]
[[250   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
 [  0 251   0   0   0   0   0   0   0   0   0   0   0   0   0]
 [  0   0 138   0   0   0   0   0   0   0   0   0   0   0   1]
 [  0   0   0 249   0   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0 247   0   0   0   1   0   0   0   0   0   0]
 [  0   0   0   0   0  65   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0   1   0 252   0   0   0   1   0   0   0   0]
 [  0   0   0   0   1   0   0 248   0   0   0   0   0   0   0]
 [  0   0   0   0   0   0   0   0 250   0   0   0   0   0   0]
 [  0   0   0   0   0   0   0   0   2 243   0   0   0   0   0]
 [  0   0   0   0   1   0   0   0   1   0 245   0   0   0   0]
 [  0   0   0   0   0   0   2   0   1   0   0 244   0   0   0]
 [  0   0   0   0   0   0   0   0   1   1   1   0  91   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   3  83   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   0   0 132]]
